Make,Model,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,MSRP
Dodge,Dart,regular unleaded,184.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,20995
Dodge,Dart,regular unleaded,184.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,21645
Dodge,Dart,regular unleaded,184.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,19000
Dodge,Dart,regular unleaded,160.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,20495
Dodge,Dart,regular unleaded,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,23795
Dodge,Dart,regular unleaded,160.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,16495
Dodge,Dart,regular unleaded,160.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,19495
Dodge,Dart,regular unleaded,160.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,18995
Dodge,Dart,regular unleaded,184.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,19395
Dodge,Dart,regular unleaded,160.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,17995
Dodge,Dart,regular unleaded,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,24395
Dodge,Dart,regular unleaded,160.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,19595
Dodge,Dart,regular unleaded,160.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,16995
Dodge,Dart,regular unleaded,160.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,21095
Dodge,Dart,regular unleaded,184.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,22095
Dodge,Dart,regular unleaded,184.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,20995
Dodge,Dart,regular unleaded,184.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,21595
Rolls-Royce,Dawn,premium unleaded (required),563.0,12.0,AUTOMATIC,rear wheel drive,2.0,Large,Convertible,335000
Dodge,Daytona,regular unleaded,152.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,2000
Dodge,Daytona,regular unleaded,100.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,2000
Dodge,Daytona,regular unleaded,141.0,6.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,2000
Dodge,Daytona,regular unleaded,224.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,2000
Dodge,Daytona,regular unleaded,141.0,6.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,2000
Dodge,Daytona,regular unleaded,100.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,2000
Dodge,Daytona,regular unleaded,100.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,2000
Dodge,Daytona,regular unleaded,141.0,6.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,2000
Dodge,Daytona,regular unleaded,224.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,2000
Aston Martin,DB7,premium unleaded (required),420.0,12.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,156300
Aston Martin,DB7,premium unleaded (required),420.0,12.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,151800
Aston Martin,DB7,premium unleaded (required),435.0,12.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,156300
Aston Martin,DB7,premium unleaded (required),420.0,12.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,141800
Aston Martin,DB9 GT,premium unleaded (required),540.0,12.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,235307
Aston Martin,DB9 GT,premium unleaded (required),540.0,12.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Convertible,213250
Aston Martin,DB9 GT,premium unleaded (required),540.0,12.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,198250
Aston Martin,DB9,premium unleaded (required),510.0,12.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Convertible,198700
Aston Martin,DB9,premium unleaded (required),510.0,12.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,183700
Aston Martin,DB9,premium unleaded (required),510.0,12.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Convertible,200800
Aston Martin,DB9,premium unleaded (required),510.0,12.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,185800
Aston Martin,DB9,premium unleaded (required),510.0,12.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,198295
Aston Martin,DB9,premium unleaded (required),510.0,12.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,188295
Aston Martin,DB9,premium unleaded (required),510.0,12.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Convertible,203295
Aston Martin,DB9,premium unleaded (required),510.0,12.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Convertible,213295
Aston Martin,DBS,premium unleaded (required),510.0,12.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Convertible,283900
Aston Martin,DBS,premium unleaded (required),510.0,12.0,MANUAL,rear wheel drive,2.0,Midsize,Convertible,279500
Aston Martin,DBS,premium unleaded (required),510.0,12.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,270400
Aston Martin,DBS,premium unleaded (required),510.0,12.0,MANUAL,rear wheel drive,2.0,Midsize,Coupe,266000
Aston Martin,DBS,premium unleaded (required),510.0,12.0,MANUAL,rear wheel drive,2.0,Midsize,Convertible,282295
Aston Martin,DBS,premium unleaded (required),510.0,12.0,MANUAL,rear wheel drive,2.0,Midsize,Coupe,268660
Aston Martin,DBS,premium unleaded (required),510.0,12.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,273104
Aston Martin,DBS,premium unleaded (required),510.0,12.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Convertible,286739
Aston Martin,DBS,premium unleaded (required),510.0,12.0,MANUAL,rear wheel drive,2.0,Midsize,Convertible,295987
Aston Martin,DBS,premium unleaded (required),510.0,12.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,275861
Aston Martin,DBS,premium unleaded (required),510.0,12.0,MANUAL,rear wheel drive,2.0,Midsize,Coupe,284576
Aston Martin,DBS,premium unleaded (required),510.0,12.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Convertible,296387
Aston Martin,DBS,premium unleaded (required),510.0,12.0,MANUAL,rear wheel drive,2.0,Midsize,Convertible,290461
Aston Martin,DBS,premium unleaded (required),510.0,12.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,284976
Aston Martin,DBS,premium unleaded (required),510.0,12.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Convertible,290861
Aston Martin,DBS,premium unleaded (required),510.0,12.0,MANUAL,rear wheel drive,2.0,Midsize,Coupe,275461
Land Rover,Defender,regular unleaded,182.0,8.0,MANUAL,four wheel drive,2.0,Compact,2dr SUV,27736
Land Rover,Defender,regular unleaded,182.0,8.0,MANUAL,four wheel drive,2.0,Compact,2dr SUV,30709
Land Rover,Defender,regular unleaded,182.0,8.0,AUTOMATIC,four wheel drive,2.0,Compact,Convertible SUV,36931
Land Rover,Defender,regular unleaded,182.0,8.0,AUTOMATIC,four wheel drive,2.0,Compact,2dr SUV,39669
Cadillac,DeVille,regular unleaded,275.0,8.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,49150
Cadillac,DeVille,regular unleaded,300.0,8.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,49150
Cadillac,DeVille,regular unleaded,275.0,8.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,44400
Cadillac,DeVille,regular unleaded,300.0,8.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,50750
Cadillac,DeVille,regular unleaded,275.0,8.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,50750
Cadillac,DeVille,regular unleaded,275.0,8.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,45600
Cadillac,DeVille,regular unleaded,275.0,8.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,51600
Cadillac,DeVille,regular unleaded,275.0,8.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,46430
Cadillac,DeVille,regular unleaded,275.0,8.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,46045
Cadillac,DeVille,regular unleaded,290.0,8.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,51600
Lamborghini,Diablo,premium unleaded (required),550.0,12.0,MANUAL,all wheel drive,2.0,Compact,Coupe,294900
Mitsubishi,Diamante,premium unleaded (required),205.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,28447
Mitsubishi,Diamante,premium unleaded (required),210.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,26997
Mitsubishi,Diamante,premium unleaded (required),205.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,25687
Mitsubishi,Diamante,premium unleaded (required),205.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,25997
Mitsubishi,Diamante,premium unleaded (required),205.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,28447
Mitsubishi,Diamante,premium unleaded (required),210.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,27097
Mitsubishi,Diamante,premium unleaded (required),205.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,24999
Mitsubishi,Diamante,premium unleaded (required),210.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,26819
Mitsubishi,Diamante,premium unleaded (required),205.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,27619
Land Rover,Discovery Series II,regular unleaded,188.0,8.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,2561
Land Rover,Discovery Series II,premium unleaded (required),188.0,8.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,36350
Land Rover,Discovery Series II,premium unleaded (required),188.0,8.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,33350
Land Rover,Discovery Series II,premium unleaded (required),188.0,8.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,34350
Land Rover,Discovery Series II,premium unleaded (required),188.0,8.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,33350
Land Rover,Discovery Series II,premium unleaded (required),188.0,8.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,37150
Land Rover,Discovery Sport,premium unleaded (recommended),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,37070
Land Rover,Discovery Sport,premium unleaded (recommended),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,45570
Land Rover,Discovery Sport,premium unleaded (recommended),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,41570
Land Rover,Discovery Sport,premium unleaded (recommended),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,41955
Land Rover,Discovery Sport,premium unleaded (recommended),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,45955
Land Rover,Discovery Sport,premium unleaded (recommended),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,37455
Land Rover,Discovery Sport,premium unleaded (recommended),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,46595
Land Rover,Discovery Sport,premium unleaded (recommended),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,42195
Land Rover,Discovery Sport,premium unleaded (recommended),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,37695
Land Rover,Discovery,premium unleaded (required),217.0,8.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,34350
Land Rover,Discovery,premium unleaded (required),217.0,8.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,40350
Land Rover,Discovery,premium unleaded (required),217.0,8.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,38350
Land Rover,Discovery,premium unleaded (required),217.0,8.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,38685
Land Rover,Discovery,premium unleaded (required),217.0,8.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,40685
Land Rover,Discovery,premium unleaded (required),217.0,8.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,34330
Cadillac,DTS,regular unleaded,275.0,8.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,51460
Cadillac,DTS,regular unleaded,275.0,8.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,46280
Cadillac,DTS,regular unleaded,275.0,8.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,49730
Cadillac,DTS,regular unleaded,292.0,8.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,54230
Cadillac,DTS,regular unleaded,275.0,8.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,49230
Cadillac,DTS,regular unleaded,275.0,8.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,47625
Cadillac,DTS,premium unleaded (recommended),275.0,8.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,46280
Cadillac,DTS,premium unleaded (recommended),275.0,8.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,51525
Cadillac,DTS,premium unleaded (recommended),275.0,8.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,54425
Cadillac,DTS,premium unleaded (recommended),292.0,8.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,59475
Cadillac,DTS,premium unleaded (recommended),292.0,8.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,59875
Cadillac,DTS,premium unleaded (recommended),275.0,8.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,51925
Cadillac,DTS,premium unleaded (recommended),275.0,8.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,54825
Cadillac,DTS,premium unleaded (recommended),275.0,8.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,46680
Dodge,Durango,regular unleaded,290.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,4dr SUV,36895
Dodge,Durango,premium unleaded (recommended),360.0,8.0,AUTOMATIC,all wheel drive,4.0,Large,4dr SUV,42495
Dodge,Durango,regular unleaded,290.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,4dr SUV,39495
Dodge,Durango,regular unleaded,290.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,4dr SUV,40995
Dodge,Durango,regular unleaded,290.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,4dr SUV,33095
Dodge,Durango,regular unleaded,290.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,4dr SUV,43595
Dodge,Durango,premium unleaded (recommended),360.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,4dr SUV,39995
Dodge,Durango,regular unleaded,290.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,4dr SUV,30495
Dodge,Durango,premium unleaded (recommended),360.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,4dr SUV,41995
Dodge,Durango,regular unleaded,293.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,4dr SUV,39595
Dodge,Durango,regular unleaded,293.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,4dr SUV,30495
Dodge,Durango,regular unleaded,295.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,4dr SUV,43895
Dodge,Durango,regular unleaded,293.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,4dr SUV,33095
Dodge,Durango,premium unleaded (recommended),360.0,8.0,AUTOMATIC,all wheel drive,4.0,Large,4dr SUV,44595
Dodge,Durango,regular unleaded,295.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,4dr SUV,42390
Dodge,Durango,regular unleaded,293.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,4dr SUV,36995
Dodge,Durango,regular unleaded,295.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,4dr SUV,41295
Dodge,Durango,regular unleaded,295.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,4dr SUV,44990
Dodge,Durango,regular unleaded,295.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,4dr SUV,37495
Dodge,Durango,regular unleaded,295.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,4dr SUV,42490
Dodge,Durango,regular unleaded,295.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,4dr SUV,40095
Dodge,Durango,premium unleaded (recommended),360.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,4dr SUV,42095
Dodge,Durango,regular unleaded,295.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,4dr SUV,29995
Dodge,Durango,premium unleaded (recommended),360.0,8.0,AUTOMATIC,all wheel drive,4.0,Large,4dr SUV,44695
Dodge,Durango,regular unleaded,295.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,4dr SUV,41395
Dodge,Durango,regular unleaded,295.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,4dr SUV,43995
Dodge,Durango,regular unleaded,295.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,4dr SUV,45090
Dodge,Durango,regular unleaded,295.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,4dr SUV,32595
Dodge,Dynasty,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,2000
Dodge,Dynasty,regular unleaded,141.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,2000
Dodge,Dynasty,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,2000
Dodge,Dynasty,regular unleaded,141.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,2000
Dodge,Dynasty,regular unleaded,141.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,2000
Dodge,Dynasty,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,2000
Ford,E-150,regular unleaded,199.0,6.0,AUTOMATIC,rear wheel drive,3.0,Midsize,Passenger Van,2000
Ford,E-150,regular unleaded,145.0,6.0,AUTOMATIC,rear wheel drive,3.0,Midsize,Cargo Van,2000
Ford,E-150,regular unleaded,145.0,6.0,AUTOMATIC,rear wheel drive,3.0,Midsize,Passenger Van,2000
Ford,E-150,regular unleaded,200.0,6.0,AUTOMATIC,rear wheel drive,3.0,Midsize,Passenger Van,2000
Ford,E-150,regular unleaded,200.0,6.0,AUTOMATIC,rear wheel drive,3.0,Midsize,Passenger Van,2123
Ford,E-150,regular unleaded,200.0,6.0,AUTOMATIC,rear wheel drive,3.0,Midsize,Passenger Van,2074
Ford,E-150,regular unleaded,200.0,6.0,AUTOMATIC,rear wheel drive,3.0,Midsize,Cargo Van,2000
Ford,E-150,regular unleaded,200.0,6.0,AUTOMATIC,rear wheel drive,3.0,Midsize,Passenger Van,2301
Ford,E-150,regular unleaded,200.0,6.0,AUTOMATIC,rear wheel drive,3.0,Midsize,Cargo Van,2079
Ford,E-150,regular unleaded,200.0,6.0,AUTOMATIC,rear wheel drive,3.0,Midsize,Passenger Van,2256
Ford,E-150,regular unleaded,200.0,6.0,AUTOMATIC,rear wheel drive,3.0,Midsize,Passenger Van,2169
Ford,E-250,regular unleaded,199.0,6.0,AUTOMATIC,rear wheel drive,3.0,Large,Cargo Van,2000
Ford,E-250,regular unleaded,145.0,6.0,AUTOMATIC,rear wheel drive,3.0,Midsize,Cargo Van,2000
Ford,E-250,regular unleaded,200.0,6.0,AUTOMATIC,rear wheel drive,3.0,Large,Cargo Van,2000
Ford,E-250,regular unleaded,200.0,6.0,AUTOMATIC,rear wheel drive,3.0,Midsize,Cargo Van,2000
Ford,E-250,regular unleaded,235.0,6.0,AUTOMATIC,rear wheel drive,3.0,Midsize,Cargo Van,2080
Ford,E-250,regular unleaded,235.0,6.0,AUTOMATIC,rear wheel drive,3.0,Large,Cargo Van,2107
Mercedes-Benz,E-Class,premium unleaded (required),329.0,6.0,AUTOMATIC,all wheel drive,2.0,Midsize,Coupe,55850
Mercedes-Benz,E-Class,premium unleaded (required),550.0,8.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,93600
Mercedes-Benz,E-Class,premium unleaded (required),329.0,6.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,53350
Mercedes-Benz,E-Class,premium unleaded (required),302.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,57100
Mercedes-Benz,E-Class,premium unleaded (required),302.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,54800
Mercedes-Benz,E-Class,premium unleaded (required),302.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,59000
Mercedes-Benz,E-Class,diesel,195.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,54300
Mercedes-Benz,E-Class,premium unleaded (required),402.0,8.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Convertible,67750
Mercedes-Benz,E-Class,premium unleaded (required),302.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,52300
Mercedes-Benz,E-Class,premium unleaded (required),577.0,8.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,100600
Mercedes-Benz,E-Class,premium unleaded (required),577.0,8.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,103200
Mercedes-Benz,E-Class,premium unleaded (required),329.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,64850
Mercedes-Benz,E-Class,premium unleaded (required),402.0,8.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,59400
Mercedes-Benz,E-Class,premium unleaded (required),329.0,6.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Convertible,61350
Mercedes-Benz,E-Class,diesel,195.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,51800
Mercedes-Benz,E-Class,premium unleaded (required),329.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,62350
Mercedes-Benz,E-Class,premium unleaded (required),329.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,63100
Mercedes-Benz,E-Class,premium unleaded (required),302.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,59900
Mercedes-Benz,E-Class,diesel,195.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,55150
Mercedes-Benz,E-Class,premium unleaded (required),302.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,53100
Mercedes-Benz,E-Class,premium unleaded (required),329.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,65600
Mercedes-Benz,E-Class,premium unleaded (required),577.0,8.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,101700
Mercedes-Benz,E-Class,premium unleaded (required),302.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,55600
Mercedes-Benz,E-Class,premium unleaded (required),329.0,6.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,54200
Mercedes-Benz,E-Class,premium unleaded (required),402.0,8.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,60300
Mercedes-Benz,E-Class,premium unleaded (required),329.0,6.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Convertible,62250
Mercedes-Benz,E-Class,premium unleaded (required),402.0,8.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Convertible,68700
Mercedes-Benz,E-Class,premium unleaded (required),577.0,8.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,104300
Mercedes-Benz,E-Class,diesel,195.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,52650
Mercedes-Benz,E-Class,premium unleaded (required),329.0,6.0,AUTOMATIC,all wheel drive,2.0,Midsize,Coupe,56700
Mercedes-Benz,E-Class,premium unleaded (required),329.0,6.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Convertible,62600
Mercedes-Benz,E-Class,premium unleaded (required),241.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,54650
Mercedes-Benz,E-Class,premium unleaded (required),329.0,6.0,AUTOMATIC,all wheel drive,2.0,Midsize,Coupe,57050
Mercedes-Benz,E-Class,premium unleaded (required),241.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,52150
Mercedes-Benz,E-Class,premium unleaded (required),329.0,6.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,54550
Mercedes-Benz,E-Class,premium unleaded (required),402.0,8.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,60650
Mercedes-Benz,E-Class,premium unleaded (required),402.0,8.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Convertible,69100
Volkswagen,e-Golf,electric,115.0,6.0,DIRECT_DRIVE,front wheel drive,4.0,Compact,4dr Hatchback,33450
Volkswagen,e-Golf,electric,115.0,6.0,DIRECT_DRIVE,front wheel drive,4.0,Compact,4dr Hatchback,35445
Volkswagen,e-Golf,electric,115.0,6.0,DIRECT_DRIVE,front wheel drive,4.0,Compact,4dr Hatchback,28995
Volkswagen,e-Golf,electric,115.0,6.0,DIRECT_DRIVE,front wheel drive,4.0,Compact,4dr Hatchback,35595
Ford,E-Series Van,flex-fuel (unleaded/E85),255.0,8.0,AUTOMATIC,rear wheel drive,3.0,Large,Cargo Van,31460
Ford,E-Series Van,flex-fuel (unleaded/E85),225.0,8.0,AUTOMATIC,rear wheel drive,3.0,Midsize,Cargo Van,26630
Ford,E-Series Van,flex-fuel (unleaded/E85),225.0,8.0,AUTOMATIC,rear wheel drive,3.0,Midsize,Cargo Van,27630
Ford,E-Series Van,flex-fuel (unleaded/E85),225.0,8.0,AUTOMATIC,rear wheel drive,3.0,Large,Cargo Van,28985
Ford,E-Series Van,flex-fuel (unleaded/E85),225.0,8.0,AUTOMATIC,rear wheel drive,3.0,Large,Cargo Van,27840
Ford,E-Series Van,flex-fuel (unleaded/E85),255.0,8.0,AUTOMATIC,rear wheel drive,3.0,Midsize,Cargo Van,30560
Ford,E-Series Van,flex-fuel (unleaded/E85),225.0,8.0,AUTOMATIC,rear wheel drive,3.0,Midsize,Cargo Van,27325
Ford,E-Series Van,flex-fuel (unleaded/E85),255.0,8.0,AUTOMATIC,rear wheel drive,3.0,Midsize,Cargo Van,31485
Ford,E-Series Van,flex-fuel (unleaded/E85),225.0,8.0,AUTOMATIC,rear wheel drive,3.0,Large,Cargo Van,30145
Ford,E-Series Van,flex-fuel (unleaded/E85),225.0,8.0,AUTOMATIC,rear wheel drive,3.0,Midsize,Cargo Van,28785
Ford,E-Series Van,flex-fuel (unleaded/E85),225.0,8.0,AUTOMATIC,rear wheel drive,3.0,Large,Cargo Van,28540
Ford,E-Series Van,flex-fuel (unleaded/E85),255.0,8.0,AUTOMATIC,rear wheel drive,3.0,Large,Cargo Van,32385
Ford,E-Series Van,flex-fuel (unleaded/E85),225.0,8.0,AUTOMATIC,rear wheel drive,3.0,Midsize,Cargo Van,28600
Ford,E-Series Van,flex-fuel (unleaded/E85),255.0,8.0,AUTOMATIC,rear wheel drive,3.0,Midsize,Cargo Van,32760
Ford,E-Series Van,flex-fuel (unleaded/E85),225.0,8.0,AUTOMATIC,rear wheel drive,3.0,Midsize,Cargo Van,30060
Ford,E-Series Van,flex-fuel (unleaded/E85),225.0,8.0,AUTOMATIC,rear wheel drive,3.0,Large,Cargo Van,31420
Ford,E-Series Van,flex-fuel (unleaded/E85),255.0,8.0,AUTOMATIC,rear wheel drive,3.0,Large,Cargo Van,33660
Ford,E-Series Van,flex-fuel (unleaded/E85),225.0,8.0,AUTOMATIC,rear wheel drive,3.0,Large,Cargo Van,29815
